✅ TX ea254fd2e13c249e539baa93c0a52d00fbcbc00ab14222aa54f2c47c3747fa10 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-18 01:26:00
✅ TX 8762c6b2e65aee77804a0bf48e36b6763ede044d00879c484e6f2c0cbcdf2cf0 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-11-07 20:41:00
✅ TX 6e01c77568ce7f78043e1986c314a0eb84cba0487078c0e8bebc0819f6bb4f42 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-07 20:41:00
✅ TX 5062e9db4d8441fde6b47138c7bfce9871642c03046a0f8048f9955c1baeff79 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 211 | Timestamp: 2016-11-07 20:41:00
✅ TX 8f716e4888187f2ad9b53d84b1cd021b6562496452723fb1aef2814df49c4890 | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-30 19:07:00
✅ TX 291840d09b2fd9d5ab5a50a25743f89e34aa3a636f85c30446795862220088cc | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2017-01-30 19:07:00
✅ TX be6a22359ca9399bbbea90d4355b421cad8892088871133db9e2a14b08a4e669 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-30 19:07:00
✅ TX 2775ccf565a6fc47fb9c82d2932780d225f6af46681626a981918acc4255dfaa | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 208 | Timestamp: 2017-01-30 19:07:00
✅ TX 7e0def5dd5acad1c520bd2294cc1c51fa5b4edf0ac3b7c382d7d1dee3c2fc967 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-09 16:52:00
✅ TX 097adb50cd920d6116babfb2f5ef35146493e392af0abcaf41fdc0d4417b9959 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-08-09 16:52:00
✅ TX 2a2c79d40602541f551ebcb298256459c9c647810429299941f59cb70e1f021e | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-09 16:52:00
✅ TX 5c61f1ee2e59cb5cc5ea4f41e83d24606422c9ae3a4afcc52f99f87560831296 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 203 | Timestamp: 2016-08-09 16:52:00
✅ TX d35020803de03175a1efd57e032170df36afd2512caaac7943d47c7bc9c36419 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-09 16:52:00
✅ TX 7b9095478f1aff229ca352799d320ff82742d80a6c9381aead060dde44be34ac | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-22 18:11:00
✅ TX eda7f8251897edefe5f710bef8de8f56ed6f344ea1baf9485100b95213dce10d | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-08-22 18:11:00
✅ TX 511b922a9f843ac7b8ff4fb891264a96a7414469a2ff86df58aa8d3f2807c0ac | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-22 18:11:00
✅ TX 592496934e242fd66d238fb68c5f622d3614d8d0e0dcba8cdde5c3ffa6c48b9c | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 217 | Timestamp: 2016-08-22 18:11:00
✅ TX f6709a1f271702f4e4538061bf0bb90af6996d1ffe4e7ab8adb9057fce7f154b | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-22 18:11:00
✅ TX 8cf5348ce50ff19db7026e989d81215d331a2b816997467dd1067e7278c41033 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-07 13:48:00
✅ TX 6ae81f1e367bf1f6b48c9e51bbd5334488bd9f82f62610392d99bec022cfbabb | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-12-07 13:48:00
✅ TX d09b3c0c1de1652114c190cc01b1b4088436f45227b181b2a393be1745e87a0c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-07 13:48:00
✅ TX b3625404e2f5dc8c9373c9ccc214cb958b43747278fd4cd0920b60ff57e1db1e | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-12-07 13:48:00
✅ TX e45c79ba936d438a06e05bcee1c9977ad078c2a7a37ee60d8e9ed59e33f200d3 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-07 13:48:00
✅ TX 6ca2b1b2740be5a5db0668cdcd6bcc3bc5af429da4c1e697a1015453a29408c8 | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-24 17:42:00
✅ TX bd19e94831cdabb1d0820ef1a31911d2e87b9975df5235afd873bfb8a7c7eb9b | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2017-01-24 17:42:00
✅ TX ad9f5f298a13c3647caa153d11dfcb12043850e8f6964867f7cee1cf3772407f | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-24 17:42:00
✅ TX c19eda13622124b992bcbb8e7fc490fb30e8247230eca9f30bc8b66fc4098fd4 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 209 | Timestamp: 2017-01-24 17:42:00
✅ TX 3c490d85aa2bbe93717cf9beac01e985f8515bcce2fe72b9ef6722de21a38742 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-26 00:45:00
✅ TX 397aea9f32f5e21e5f4789a7fbfb96b0b4c49913a214cb1c896b9d7c5e62bbe4 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-10-26 00:45:00
✅ TX 629678f650f7208e03afdf7a2b688ea872709ec88c46f5123b5c72634dc63e0c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-26 00:45:00
✅ TX 493764e57e1aa2afa64cf6326d2304d9dd3f196d4b9dc71896aa432be5751f1d | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-10-26 00:45:00
✅ TX 1bb53c34f8b223d4a47eba475649816df8b7a0f9c34d9207c963ad66340148c6 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-26 00:45:00
✅ TX aacdf508dc1c6a1e34e79cc8dba69eab36b70dc827b108e4b370c44b0b9a7472 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-24 13:49:00
✅ TX 712f0ae77c372398e6d454c6e6703705877979329f409dbae8db62f9655d6582 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-24 13:49:00
✅ TX 2d4eeb88a757585e670c7b7b1084aa521e19d15e60c668c01d7f4ebc10f824a6 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-24 13:49:00
✅ TX ad9c7170bff0148ebc79941f9ee8fa0378a4d6589d6b0b86b715656601323fac | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 215 | Timestamp: 2016-09-24 13:49:00
✅ TX a0ed8941e88e57747dc6d7134277e446c96a632bafd4ff046af570f47ce9baf2 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-24 13:49:00
✅ TX 776c17d2249500fc447966a04f3db1b6d2b6f894d6cc4ba7de9d42e7005f2bbc | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-03 01:42:00
✅ TX 44e3499b44fe09a09a748ac6a96e4c95f1f9ea56df861220d2e1347ba4dba66f | SENSOR_Temperature_°C | Temperature (°C) | Value: 10 | Timestamp: 2017-01-03 01:42:00
✅ TX d9f6ef2294f99d69f926498d484209e7f908a6cce2f3e35bcb3d0667d9e6a500 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-03 01:42:00
✅ TX c37dca5820a85b122547576b5f025147f26553e26c9c8a422d721849158fbfd0 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 218 | Timestamp: 2017-01-03 01:42:00
✅ TX a19c777d71882fc897e837449202553c12ecb018c3d4340e1710f422f205fc10 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-13 14:02:00
✅ TX 28144c1647324d075c716b76e0889c6ce0e769585a7525ead1b367f82aaf74c9 | SENSOR_Temperature_°C | Temperature (°C) | Value: 9 | Timestamp: 2016-09-13 14:02:00
✅ TX 001c096f6d96d68f08b819b7999f4f305bba617444942d5f01c2de0e6b6681d5 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-13 14:02:00
✅ TX 6a7969f74bad4ddb7db3d3bd8f8a0ac0c27778c61ad01a964fccb3f0120e5509 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2016-09-13 14:02:00
✅ TX 2e2cfb7c2abd91e5b1fc71e501589fb91c13068b16554d8c4f97f3d40eb933d1 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-13 14:02:00
✅ TX f71ab5c856fa2b6801002ba5f39f638d731194a5431fed915b43e2935515c488 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-12 03:30:00
✅ TX 062c41b5a7ea9ae0a18e8e2cc20e8c2b79fcef1121c32afddea402c2ab59e3e5 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-12 03:30:00
✅ TX 394259f1c8e36541be8e13f9a0c4ac984eeab77aa1bbe60b483872ae8775acdc | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-12 03:30:00
✅ TX 0797637ea8bc22d9bca428e54597ff2d9536c547f8a7f3e794f204b5cd236914 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 218 | Timestamp: 2016-10-12 03:30:00
✅ TX a3afc154fbe7a86ea8e65240432a1fd2ab03012879553d174db602b650bc3bae | SENSOR_pH | pH | Value: 8 | Timestamp: 2017-01-22 12:00:00
✅ TX 0f483008b9da14003581b1905b3027c462bf0e97e665214649fd0f487651ed73 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2017-01-22 12:00:00
✅ TX 91be91f06bb346a2d8579f47531ff265ae5cdc55585c73e2ef53c5a77d799383 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2017-01-22 12:00:00
✅ TX 6acb006fc5705de7a2ec587d67cc8fbadf63ea2ea576111cef5498fb3ff40e29 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 213 | Timestamp: 2017-01-22 12:00:00
✅ TX 01efd5ea4689501bce887dde6068b51ab6fedf515928dab498ddd799158a2f63 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2017-01-22 12:00:00
✅ TX eeac5f0fc512c097be07c4cd4b5c8d885f2dcee564a244fc567054d97f8e49aa | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-15 15:24:00
✅ TX 86a540342dd7004290fd86296cac6554a33b18a72e2fbcfe43454d05ad2d6857 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-10-15 15:24:00
✅ TX ca0a0d786c6d3dd63c7830fce8eab9e6ea21440f18c8cf22597d0a7d99333a31 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-15 15:24:00
✅ TX ca58986caac941f3920c8faa939bc961804e2f3c337a8c4dc72f5be7b69c8b60 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-10-15 15:24:00
✅ TX e552dbfbd32a76e1fb0f7b6b4801e91738834938df47e70f4a9bd7989f7577cf | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-06 07:55:00
✅ TX 59c856641f0aa241f36971921826d94875bb4d257ea5c98a6df89cee0a0731ce | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-10-06 07:55:00
✅ TX 14b95fd47848bbd62748786ad1f4b4ebe6dc449fb95e3fbeb6c513efef6b64c7 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-06 07:55:00
✅ TX 25473e28f39f4c9da42d036d309befa4b4aab273dbe6cd404a6d10d311590071 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-10-06 07:55:00
✅ TX 3fc9e6b4353ac9c433f9d48a6706fc27e03916db760cf9c58a1c34ac57dd2aa3 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-06 07:55:00
✅ TX 3c79dfd2a3410f4ca51d05c770821a5f12fe26b48e7fd2059cda5e1f7019b2b5 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-07 12:40:00
✅ TX efb33c6b8c782611ef5426e0927e627f52bd9964feaa2644ffe5f7ba1eb1291e | SENSOR_Temperature_°C | Temperature (°C) | Value: 6 | Timestamp: 2016-08-07 12:40:00
✅ TX db0541f6ef1143459651500f2471a1c972f4374ce80130019dc456e488990e49 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-07 12:40:00
✅ TX 6c6af7edef308bfc81527f3ac3b4ca17d62870158e916e4daabebb08528e3502 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 209 | Timestamp: 2016-08-07 12:40:00
✅ TX 2f9a85655293e883ef8989f7b8ec26b263242495fe0a2351b3e5215c1b634247 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-07 12:40:00
✅ TX 66fcdc1335eebe80f99b1af86ee0ea50ca061b80296d4ff72f3d89ab8fb45406 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-25 23:34:00
✅ TX 9bac5973f8d2d78b594da5736203e7620f1c52bb1bc369941682381987c3366b | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-08-25 23:34:00
✅ TX 35a837c2556f01e7e5e5477fdada01573414d3d7183277b3dbe066856f368d25 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-25 23:34:00
✅ TX a9b2629468c3f9b537b588d47f8cefb25ae1e820eb6a9a61504c9210efcc71ef | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-08-25 23:34:00
✅ TX 7764840d5291c2c35bc37c4dd0fc29614e8f1ddda1bf1159a234453f8b7306fd | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-26 13:27:00
✅ TX 7f0d7c59a40693400fef55f6bc0239b1a38506e1d587df078f4c118e5a40625a | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-08-26 13:27:00
✅ TX 4690617abb43cac13425ed76e9368e1b1d861167cf102e1aacc411daa8a203b3 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-26 13:27:00
✅ TX fa102c42423256f5b0003340a5a4c026c01dca617615ebba04ba048c21bc58fd | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 212 | Timestamp: 2016-08-26 13:27:00
✅ TX ec47f52f3df80f5a5dc3eebaf5d9b5dbc3ac1951c9f8af58d72ed1ff59ed921f | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-26 13:27:00
✅ TX bc5116c6ed07f104ee2b19db58277d1fe6c4caf761b15e3629c8e18ed23ee1f2 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-06 12:31:00
✅ TX 3c5787d8b61363f41945ab7b81f52e142e1b72a536b41ac15982c61e36973da8 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-08-06 12:31:00
✅ TX bee583323cd5a5dc4c834b1df5b2ffc998600b268dbf8ef0fb76674efe388ec2 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-06 12:31:00
✅ TX ff212f7786efcf59ec1028d438578daa9e5e16d79c70947f08384e546f28d599 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 215 | Timestamp: 2016-08-06 12:31:00
✅ TX 8131b06593bd6b89bcbc5496d4abb079a9e0396e875849463bf1c931bdf6a52f | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-08-06 12:31:00
✅ TX f1f4b1b95c342dd8a866c640e6482077a5f7d907f8d077bb9eea630d72053d1c | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-24 09:27:00
✅ TX 4bff0786ff7e9429ce3aa8e3fc3d12b08fba5dd2e9b50a758fb1985708f000ac | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-11-24 09:27:00
✅ TX bfcc01d326740573bac787a4ddc77dfb0bb5538baad8f49507983824c682517d | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-24 09:27:00
✅ TX 801423d3046181f1e53f87db62c8ed780ff8f2e22e2fabfd90b6e8c733cb6af7 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 205 | Timestamp: 2016-11-24 09:27:00
✅ TX 8b040cf80512c2f75d858359892e62d545097c6a44d7299e4825111330849b91 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-24 09:27:00
✅ TX 5af99180d7a6cac019d907bf3ff2aa179ca134edc972bb09a13199178902264a | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-21 10:48:00
✅ TX 787499825e4cb3ee174a0ab8733a95d059419889f3ad80d39598060b031d7052 | SENSOR_Temperature_°C | Temperature (°C) | Value: 3 | Timestamp: 2016-08-21 10:48:00
✅ TX b7762377d82e85e690acdad2e2c5b51e88937953d93ae3389e609ec715d15b44 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-21 10:48:00
✅ TX 005b254ff7a10e7ce9765b8960d6cb5be62171adc9ac1f014aa485b55efa5724 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 204 | Timestamp: 2016-08-21 10:48:00
✅ TX d042b97bd5b8251497308971e1725a4ddd8fc91fa7d964bc4d8a2cfc20fbbbb8 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-11-30 10:31:00
✅ TX e637770a22432ede5420c73079244534b7ca29c216dae544400b52ce2a0e2342 | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-11-30 10:31:00
✅ TX 2f99a6514672c9739c077ad70d7da43f896ae2dece755367b7669431488f79f6 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-11-30 10:31:00
✅ TX c44be57d0cf770b8ebda440c2cb700f2d26917f28a1efbe91a7b6d4e05aac5fa | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 206 | Timestamp: 2016-11-30 10:31:00
✅ TX 831c18b335d891c6d66701b386f4caecc7384e23e0356c49f5953d42d1611e9e | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-11-30 10:31:00
✅ TX 964dd68c63b01137ac7911646b7c95291734e49cf1ac958d3cbe4dbd5ce070fa | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-17 08:22:00
✅ TX 8e263a524f436119a53d4903c183cf84e5c67c352f95c75e0fc62abd2decb9d9 | SENSOR_Temperature_°C | Temperature (°C) | Value: 5 | Timestamp: 2016-09-17 08:22:00
✅ TX 4e78eee07a4412bb783f6d65cc898660b0f7ef3e81723a6dff5a4f935202420c | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-17 08:22:00
✅ TX 73e22d84e7f9791ccb0c8297a099aed993f38b8cb7735e6dd895e5b6f47208ab | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 214 | Timestamp: 2016-09-17 08:22:00
✅ TX 4afb4e88d253a728c6ed8e1ee8b128c5c724bc307337a28912ea5c49ca8a1f4f | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-09-17 08:22:00
✅ TX 2e549480a1b2824f7cc769b2e3a8b04d59c30a880537e762299f864f28c555a7 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-14 20:26:00
✅ TX 527025691b713fb5b073a6c72ce24e0be70e6d32bbcda5c43460d8a23a659b8b | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-12-14 20:26:00
✅ TX 3aa6a81044f26c36736d77056966b7390d52d2fcadca4b26078732cd9cb8ea7b | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-14 20:26:00
✅ TX 77ae770266066cfbd2e300404c3760578fb640bb6de4298b773b6a157698e540 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 215 | Timestamp: 2016-12-14 20:26:00
✅ TX acb1cb9a5b66f906b713927bfbda05eba31ce3b0dff399cf45dd8ec787367131 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-14 20:26:00
✅ TX 49b35e7c66e7593a1d4be2b697935e88c54fd8a44c50d3588cf538f24eb1e927 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-12-04 10:59:00
✅ TX 2a4cf275c0d81867e76946f439a1d160d32921b21ff3ec56320f88fd6e1a63ca | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-12-04 10:59:00
✅ TX 3a32291cd3a1b6ec38716779e232111c3b2f12877c70a4cf453e2aa817dcf554 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-12-04 10:59:00
✅ TX 1cff9bc5f2cd683ac32d83b60da3b04ec7a5a12b72e6554e89c2548f014a1c85 | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 208 | Timestamp: 2016-12-04 10:59:00
✅ TX 31e7a8513a6c56e1c7e7c43e08938b74fb478b55ea428d2c7e287acfb72853f5 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-12-04 10:59:00
✅ TX 05582092dbb89fbad1e08489b0b36e34baeb299eb1fef329644a5bdd6d3bbbfc | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-10-17 14:15:00
✅ TX 899b914c82ee9433dd28cee1aae36c30f55174d3dd51b9f2f1a109a59b3fadee | SENSOR_Temperature_°C | Temperature (°C) | Value: 7 | Timestamp: 2016-10-17 14:15:00
✅ TX 45cddd193a7344c3f6601ab0ef3c14b543851ea09f56ba0d938aee91c5dc8171 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-10-17 14:15:00
✅ TX d1a345cf722227daeb2a81ee9b5767c792044cbdfa9dd3ffa6e754fe46dc17db | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 208 | Timestamp: 2016-10-17 14:15:00
✅ TX aa1d8c763ac8b28154227d447134e1d9708c48358bdaf3de27c21b8253064fc0 | SENSOR_ClO2_mg_L | ClO2 MS1 (mg/L) | Value: 0 | Timestamp: 2016-10-17 14:15:00
✅ TX 2ad49eea315ef3db31c13a144cb6802493601ca1f92119fa655667c9029eeefd | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-08-23 20:22:00
✅ TX 672db11f9840f9ef01e3ac410b8347e8c2fde5960aa6ef02bc6ed16de6006ba3 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-08-23 20:22:00
✅ TX ce7bd4e89c542d61f146cd7722e4085a0d1ff71b84c4aa43dcbd36919f05d9e2 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-08-23 20:22:00
✅ TX c8141ab50fb8d3b33c0356073271166a7c468aff21c661bbd147fe760c6c600b | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 207 | Timestamp: 2016-08-23 20:22:00
✅ TX eeebaf995d7acc1f5e555eebbedef6480d937b449775e6aed567b2e19ec276e9 | SENSOR_pH | pH | Value: 8 | Timestamp: 2016-09-20 00:37:00
✅ TX c6699f575fafe0e41ec54b60c87f11cd0f22de98c94d9203e41e0f6a2cac1b21 | SENSOR_Temperature_°C | Temperature (°C) | Value: 8 | Timestamp: 2016-09-20 00:37:00
✅ TX 0001f330c6e5528d3cd732436d6f486e608909ce717d0f7f6e896e85083f6879 | SENSOR_Turbidity_NTU | Turbidity (NTU) | Value: 0 | Timestamp: 2016-09-20 00:37:00
✅ TX 4aba871b0b2ec5879f874465dc05380ff6416202cb01029fdc51af4aefbe246c | SENSOR_Conductivity_µS_cm | Conductivity (µS/cm) | Value: 215 | Timestamp: 2016-09-20 00:37:00
